,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@MinimalDuck @Tesla Cybertruck is something special that comes along once in a long while,19158,1099,2022-11-17 20:28:52+00:00
1,elonmusk,"@heydave7 Current class-action law is actually a massive tax on the American people and desperately needs reform. It is one of the reasons medication is so expensive in the USA.

Somehow, other countries do just fine without class-action law.",5667,547,2022-11-17 17:53:14+00:00
2,elonmusk,@heydave7 The actual attackers in class-action lawsuits are the law firms. They just find someone in the class to be their puppet.,7680,577,2022-11-17 17:50:20+00:00
3,elonmusk,@AutismCapital Ok,3731,112,2022-11-17 17:41:14+00:00
4,elonmusk,@chazman We’re working on something that should rank replies automatically,8652,454,2022-11-17 15:31:43+00:00
5,elonmusk,Twitter is like open-sourcing the news,249867,21591,2022-11-17 15:26:13+00:00
6,elonmusk,@dogeofficialceo Polycule 🔥🔥,11178,620,2022-11-17 15:24:04+00:00
7,elonmusk,@sama Probably,4533,211,2022-11-17 15:21:51+00:00
8,elonmusk,@Dilbert_Daily Even TikTok is super dependent on ads,15244,934,2022-11-17 15:21:10+00:00
9,elonmusk,"SBF is ineffective altruism, but they thought he was saying he was in effective altruism. Easy misunderstanding.",29998,2056,2022-11-17 15:15:23+00:00
10,elonmusk,@growing_daniel @jeremiahscholl I don’t wanna brag but … it’s true,3532,137,2022-11-17 15:11:47+00:00
11,elonmusk,@minliangtan Definitely,7762,279,2022-11-17 08:45:55+00:00
12,elonmusk,Not to mention the sickkk memes lol,96308,4305,2022-11-17 08:37:59+00:00
13,elonmusk,Coverage of FTX meltdown is incomparably faster *and* better quality on Twitter than old-school media,245132,23410,2022-11-17 08:35:22+00:00
14,elonmusk,@BillyM2k @adamscochran @accretionist Ability to do long tweets coming soon,14723,1196,2022-11-17 07:43:09+00:00
15,elonmusk,@westcoastbill https://t.co/O9quYfsUqV,3925,223,2022-11-17 07:24:53+00:00
16,elonmusk,"@AutismCapital It’s not his fault, society is to blame. Arrest society!",13978,906,2022-11-17 06:50:26+00:00
17,elonmusk,@SaladBarFan 🎯,13010,607,2022-11-17 05:04:19+00:00
18,elonmusk,@DavidSacks I believe in vice-signaling,13783,928,2022-11-17 03:34:42+00:00
19,elonmusk,"@laurenweinstein @stocktalkweekly Correct. I will continue to run Twitter until it is in a strong place, which will take some time.",7978,578,2022-11-17 03:32:28+00:00
20,elonmusk,@jack Magic 🎱 knows all,108156,5627,2022-11-17 03:30:38+00:00
21,elonmusk,@amitkgupta84 @Jason Literally working on that tonight,5057,227,2022-11-17 03:16:59+00:00
22,elonmusk,@paulg People have no idea how fast Twitter will evolve,25398,2151,2022-11-16 22:26:02+00:00
23,elonmusk,@WholeMarsBlog Yep,9433,462,2022-11-16 22:17:42+00:00
24,elonmusk,"@realGeorgeHotz @boing Sure, let’s talk.",9322,380,2022-11-16 20:23:08+00:00
25,elonmusk,"@jimmyfallon Wait a second, how do we know you’re not an alien body snatcher pretending to be Jimmy!? 

Say something that only the real Jimmy would say …",49701,1921,2022-11-16 18:56:33+00:00
26,elonmusk,@rising_serpent Why is that?,71873,3429,2022-11-16 17:25:25+00:00
27,elonmusk,@jimmyfallon Sounds like a job for @CommunityNotes!,10192,308,2022-11-16 17:19:54+00:00
28,elonmusk,"@bowx_ To heir is human, to forgive, divine (something like that)",6599,317,2022-11-16 13:55:43+00:00
29,elonmusk,@jimmyfallon Fix what?,170345,5893,2022-11-16 13:53:57+00:00
30,elonmusk,@Mrwhosetheboss Maybe,77888,1821,2022-11-16 13:45:50+00:00
31,elonmusk,@NASA @NASAArtemis @NASA_SLS @NASA_Orion Congratulations!!,39178,1785,2022-11-16 08:25:44+00:00
32,elonmusk,@JuliusSinghania @wongmjane X will be the everything app,7794,741,2022-11-16 07:17:56+00:00
33,elonmusk,@yukaichou I’m the taint haha,8629,360,2022-11-16 07:09:17+00:00
34,elonmusk,"@nichegamer @teslaownersSV @chicago_glenn @stillgray @dcherring Yeah, next-level 🤣🤣",2402,104,2022-11-16 07:07:09+00:00
35,elonmusk,@teslaownersSV @chicago_glenn @stillgray @dcherring @nichegamer Fasting + Ozempic/Wegovy + no tasty food near me,4332,281,2022-11-16 06:36:21+00:00
36,elonmusk,@chicago_glenn @stillgray @dcherring @nichegamer Down 30 lbs!,5541,193,2022-11-16 06:33:50+00:00
37,elonmusk,@jhall @stillgray @dcherring @nichegamer @Forbes Yup,2328,107,2022-11-16 06:33:19+00:00
38,elonmusk,@wongmjane 😉,23790,808,2022-11-16 06:07:05+00:00
39,elonmusk,"@stevenmarkryan My apologies, this will be fixed within a week, two at most",5189,231,2022-11-16 05:52:20+00:00
40,elonmusk,@stillgray @dcherring @nichegamer Agreed. What will matter in the future is how many Verified followers you have.,6327,500,2022-11-16 05:43:18+00:00
41,elonmusk,@teslaownersSV We’ll widen V11 beta before Thanksgiving,11733,772,2022-11-16 01:34:35+00:00
42,elonmusk,@dcherring @nichegamer Hard to say who’s celeb &amp; who isn’t. Being able to sort by follower count &amp; disallowing deliberate impersonation probably solves this.,4752,283,2022-11-16 01:24:51+00:00
43,elonmusk,@nichegamer All unpaid legacy Blue checkmarks will be removed in a few months,14593,1643,2022-11-16 00:03:07+00:00
44,elonmusk,"@RationalBlonde With new release, changing your verified name will cause loss of checkmark until name is confirmed by Twitter to meet Terms of Service",9813,592,2022-11-15 23:26:28+00:00
45,elonmusk,@RationalBlonde 🤣,11812,261,2022-11-15 23:24:25+00:00
46,elonmusk,@TweetsOfJee @RationalBlonde 🤣,24522,617,2022-11-15 23:23:37+00:00
47,elonmusk,Punting relaunch of Blue Verified to November 29th to make sure that it is rock solid,214695,14763,2022-11-15 23:18:02+00:00
48,elonmusk,@business False,170776,7711,2022-11-15 23:02:52+00:00
49,elonmusk,@mrjasonchoi @nytimes Interesting thread,12114,637,2022-11-15 22:57:09+00:00
50,elonmusk,"@SenBillNelson @NASA @SpaceX Much appreciated, SpaceX will not let NASA down!",42366,2341,2022-11-15 22:54:56+00:00
51,elonmusk,Important to admit when I’m wrong &amp; firing them was truly one of my biggest mistakes,438265,19669,2022-11-15 20:43:17+00:00
52,elonmusk,Welcoming back Ligma &amp; Johnson! https://t.co/LEhXV95Njj,726082,46938,2022-11-15 20:40:54+00:00
53,elonmusk,@BillyM2k Actual Silicon Valley is way crazier!,10457,570,2022-11-15 19:50:14+00:00
54,elonmusk,"@waitbutwhy This is just as a result of people living longer. Population collapse is already built-in, due to dramatically decreasing birth rates.",14752,1022,2022-11-15 19:36:37+00:00
55,elonmusk,@jack @micsolana 💯,8247,297,2022-11-15 19:31:39+00:00
56,elonmusk,@elonchieftwit False,3238,164,2022-11-15 19:29:21+00:00
57,elonmusk,@mualphaxi @micsolana @JTLonsdale @SenMarkey Much appreciated,11607,548,2022-11-15 19:28:37+00:00
58,elonmusk,@presidentbison @schrep Schrep is great,1927,78,2022-11-15 18:22:20+00:00
59,elonmusk,@libsoftiktok A tragic case of adult onset Tourette’s,72107,3833,2022-11-15 18:18:29+00:00
60,elonmusk,@catturd2 @WholeMarsBlog You make a compelling case,27236,1170,2022-11-15 18:14:09+00:00
61,elonmusk,@micsolana The injustice of it all 😭😭,35838,1337,2022-11-15 17:47:05+00:00
62,elonmusk,@ajtourville @unusual_whales Seriously,9362,247,2022-11-15 17:37:55+00:00
63,elonmusk,@chriskatje @unusual_whales Ligma &amp; Johnson are welcome back anytime,32352,1467,2022-11-15 17:32:41+00:00
64,elonmusk,@unusual_whales I would like to apologize for firing these geniuses. Their immense talent will no doubt be of great use elsewhere.,290541,19324,2022-11-15 17:24:45+00:00
65,elonmusk,@MuskUniversity (cue Obama giving himself a medal meme),4798,250,2022-11-15 17:15:42+00:00
66,elonmusk,@MuskUniversity Exactly,13121,585,2022-11-15 17:15:03+00:00
67,elonmusk,@schrep Server control team knows because they stop working from time to time. That’s why they have the “critical 40” list.,2447,109,2022-11-15 17:10:29+00:00
68,elonmusk,"@schrep True. Server side can (and has been) brute-forced, but that can’t solve weak Internet connections &amp; older phones.

Worth noting that Twitter in India &amp; many other countries is slow even on latest iPhone.",2338,149,2022-11-15 17:09:10+00:00
69,elonmusk,"@WholeMarsBlog Starlink is rebuilding the Internet in space, so maybe I know slightly more than some guy who wrote code for a website",127263,8393,2022-11-15 17:04:47+00:00
70,elonmusk,"@schrep There are ~1200 “microservices” server side, of which ~40 are critical to Twitter working at all, according to server control team. 

Trimming down that 1200 number, reducing data usage, serialized trips &amp; simplifying app are all needed to improve speed of use.",2623,202,2022-11-15 16:53:12+00:00
71,elonmusk,"@schrep Twitter is very slow in India, Indonesia &amp; many other countries. This is fact, not “claim”.

10 to 15 secs to refresh homeline tweets is common. Sometimes, it doesn’t work at all, especially on Android phones.

Only question is how much delay is due to bandwidth/latency/app.",21037,1568,2022-11-15 16:44:31+00:00
72,elonmusk,@Umbisam Mr. Munger’s words are much appreciated,30162,1369,2022-11-15 16:33:15+00:00
73,elonmusk,@mayemusk @Twitter @instagram @Fidias0 🤗,11056,476,2022-11-15 16:28:12+00:00
74,elonmusk,@minliangtan @wlopwangling Malenia battle was next-level intense,3465,155,2022-11-15 10:25:50+00:00
75,elonmusk,"@minliangtan @wlopwangling Yes, although it seemed almost impossible at times",3577,130,2022-11-15 10:25:06+00:00
76,elonmusk,@waitbutwhy The ratings on this simulation are incredible,28686,1273,2022-11-15 10:23:22+00:00
77,elonmusk,@wlopwangling Definitely,25202,846,2022-11-15 10:17:39+00:00
78,elonmusk,@Popeska @sampullara Why is Twitter unusably slow in many countries? Seems odd that this would be bandwidth only.,2860,189,2022-11-15 10:14:19+00:00
79,elonmusk,"@micsolana Yeah, I hate it",4323,154,2022-11-15 09:39:59+00:00
80,elonmusk,"By the People,
For the People",237361,19431,2022-11-15 09:35:35+00:00
81,elonmusk,Twitter is All the News,417176,30686,2022-11-15 09:19:19+00:00
82,elonmusk,"@NASASpaceflight Next test is ~20 sec firing with max oxygen fill to test autogenous pressurization, possibly one more static fire, then orbital launch attempt",10285,793,2022-11-15 08:58:48+00:00
83,elonmusk,@NASASpaceflight Test went well,24285,1097,2022-11-15 08:30:43+00:00
84,elonmusk,@ChrisJBakke @TrungTPhan @nytimes 🤩,8207,277,2022-11-15 04:09:06+00:00
85,elonmusk,@_corywynn_ @TrungTPhan 🤣,2550,87,2022-11-15 03:29:18+00:00
86,elonmusk,@TrungTPhan Why the puff piece @nytimes?,99014,8632,2022-11-15 03:27:51+00:00
87,elonmusk,@WholeMarsBlog Good question,10052,492,2022-11-14 20:42:32+00:00
88,elonmusk,@cb_doge Did seem a little Dr Evil tbh haha,61000,2212,2022-11-14 20:35:10+00:00
89,elonmusk,"@alexeheath This is an external analysis, not from Twitter. It is lower than Twitter’s published mDAU.",7569,269,2022-11-14 20:34:15+00:00
90,elonmusk,Sìì! https://t.co/Gj1wHytJxk,46671,3050,2022-11-14 20:32:17+00:00
91,elonmusk,@NASASpaceflight Full test duration of 14 engines,29677,1824,2022-11-14 18:56:24+00:00
92,elonmusk,Recent trend is promising https://t.co/0q7UdxSkbM,128614,8141,2022-11-14 18:49:43+00:00
93,elonmusk,@nichegamer @abhiharry726 @sampullara That’s what I said!,3867,141,2022-11-14 16:01:11+00:00
94,elonmusk,"@abhiharry726 @sampullara In some parts of the world, refresh takes 30 seconds",1758,85,2022-11-14 15:34:42+00:00
95,elonmusk,@Popeska @sampullara How many serial requests are made by app to refresh timeline?,2226,108,2022-11-14 15:33:05+00:00
96,elonmusk,@sampullara And we will finally stop adding what device a tweet was written on (waste of screen space &amp; compute) below every tweet. Literally no one even knows why we did that …,30829,2730,2022-11-14 15:29:53+00:00
97,elonmusk,@sampullara Part of today will be turning off the “microservices” bloatware. Less than 20% are actually needed for Twitter to work!,9712,800,2022-11-14 15:27:45+00:00
98,elonmusk,"@sampullara I was told ~1200 RPCs independently by several engineers at Twitter, which matches # of microservices. The ex-employee is wrong.

Same app in US takes ~2 secs to refresh (too long), but ~20 secs in India, due to bad batching/verbose comms. Actually useful data transferred is low.",8168,549,2022-11-14 15:22:42+00:00
99,elonmusk,@mishaboar @MattWallace888 That is not good,4754,288,2022-11-14 14:54:03+00:00
100,elonmusk,@SeagerKershaw @KoguanLeo @hiromichimizuno This is up to the Tesla board,3507,206,2022-11-14 14:48:09+00:00
101,elonmusk,@leandroruschel @rmotta2 Can you cite specific instances of significance?,27957,2453,2022-11-14 14:19:19+00:00
102,elonmusk,@Alpsoy66 @EricFrohnhoefer @MEAInd I have Tesla covered too. Will be there part of this week.,3868,222,2022-11-14 14:17:47+00:00
103,elonmusk,@dogeofficialceo @EricFrohnhoefer @MEAInd That’s the bizarre part,3047,133,2022-11-14 14:16:36+00:00
104,elonmusk,@sselrehtaef 🤣💯,3644,92,2022-11-14 14:15:41+00:00
105,elonmusk,@helvio @rmotta2 How was it proven?,8002,550,2022-11-14 14:08:03+00:00
106,elonmusk,"@MattWallace888 Yay, he’s investing in Tesla!",83954,3608,2022-11-14 14:07:06+00:00
107,elonmusk,@TaraBull808 @MarioNawfal @KimDotcom @RealChetBLong @favrue3 @cvpayne @AlderLaneEggs @bennyjohnson @catturd2 @RealCandaceO A question worth asking,87408,8140,2022-11-14 14:03:46+00:00
108,elonmusk,@EricFrohnhoefer @MEAInd I’m ready through the list right now,3642,137,2022-11-14 14:02:42+00:00
109,elonmusk,"@EricFrohnhoefer @MEAInd True, the food is great. 

The fact that you don’t realize that there are up to 1200 “microservices” being called when someone uses the Twitter app is not great.",4562,254,2022-11-14 14:02:01+00:00
110,elonmusk,@FBIPantyRaid @ThisIsKyleR Interesting,2522,112,2022-11-14 13:58:36+00:00
111,elonmusk,@rmotta2 It’s on my list to review. How urgent is this?,137095,9218,2022-11-14 13:57:28+00:00
112,elonmusk,@SawyerMerritt That is my philosophy,50031,2738,2022-11-14 13:48:44+00:00
113,elonmusk,@jimcramer @JohnLegere Umm … no,24133,1058,2022-11-14 10:05:37+00:00
114,elonmusk,@chainsawdotcom @CL207 SpaceX Starlink bought a tiny – not large – ad package to test effectiveness of Twitter advertising in Australia &amp; Spain. Did same for FB/Insta/Google.,5766,336,2022-11-14 10:00:09+00:00
115,elonmusk,@NFTDannny @SawyerMerritt End of week,4416,204,2022-11-14 08:00:51+00:00
116,elonmusk,@Fwiz @SawyerMerritt Join Twitter!,6895,261,2022-11-14 07:59:56+00:00
117,elonmusk,@CL207 Comments in this thread had me rofl,5025,167,2022-11-14 07:44:40+00:00
118,elonmusk,@CL207 🤣🤣🔥🔥🪦🪦,40663,1485,2022-11-14 07:44:07+00:00
119,elonmusk,@SawyerMerritt Something tells me this would work 🧠,61302,3035,2022-11-14 07:40:45+00:00
120,elonmusk,@__SeriousGemini @dawallach @Jason That goes without saying 🤣,5601,425,2022-11-14 06:40:25+00:00
121,elonmusk,"@dawallach @Jason BTC will make it, but might be a long winter",27629,5390,2022-11-14 06:36:16+00:00
122,elonmusk,@johnjhacking Concerning,2483,114,2022-11-14 06:27:44+00:00
123,elonmusk,@TrungTPhan @SBF_FTX 🔥🔥,11788,360,2022-11-14 05:35:54+00:00
124,elonmusk,@ShooterMcKevin1 @MrHumanityGives Accurate assessment,2372,99,2022-11-14 04:40:49+00:00
125,elonmusk,@chicago_glenn @MrHumanityGives Great movie,3662,133,2022-11-14 04:36:27+00:00
126,elonmusk,@MrHumanityGives Are FB followed real?,20056,1005,2022-11-14 04:33:09+00:00
127,elonmusk,@BillyM2k Damn,22727,964,2022-11-14 03:54:02+00:00
128,elonmusk,@gchahal Good summary!,11788,712,2022-11-14 02:05:14+00:00
129,elonmusk,@MuskUniversity I do,14024,544,2022-11-14 01:56:50+00:00
130,elonmusk,@AnaPaulaVolei @GFiuza_Oficial Will look into it,39446,3980,2022-11-14 01:06:39+00:00
131,elonmusk,@ashleevance 🤣💯,22450,690,2022-11-13 23:48:23+00:00
132,elonmusk,@EricFrohnhoefer Twitter is super slow on Android. What have you done to fix that?,33514,1498,2022-11-13 23:36:10+00:00
133,elonmusk,@EricFrohnhoefer Then please correct me. What is the right number?,110064,3681,2022-11-13 23:34:51+00:00
134,elonmusk,"@_hawko False. Twitter spends $13M/year on food service for SF HQ. Badge in records show peak occupancy was 25%, average occupancy below 10%.

There are more people preparing breakfast than eating breakfast.

They don’t even bother serving dinner, because there is no one in the building.",154642,12456,2022-11-13 23:24:23+00:00
135,elonmusk,@WallStreetSilv @mtaibbi Yup,24614,1507,2022-11-13 23:08:08+00:00
136,elonmusk,@TrungTPhan 🤣,13881,499,2022-11-13 22:12:27+00:00
137,elonmusk,@dennishegstad Increasing granularity about what “verified” actually means is the right move,3767,209,2022-11-13 21:28:42+00:00
138,elonmusk,@jakeshieldsajj @SenMarkey @washingtonpost https://t.co/oNmqc7NlxY,7527,343,2022-11-13 21:17:35+00:00
139,elonmusk,@dogeofficialceo @TomFitton https://t.co/P0piGwEkmG,10440,2163,2022-11-13 21:07:13+00:00
140,elonmusk,@dogeofficialceo @TomFitton 🤔,8059,535,2022-11-13 21:00:50+00:00
141,elonmusk,@TomFitton 🤔 https://t.co/XpH56PxLgm,44225,12487,2022-11-13 20:46:40+00:00
142,elonmusk,@lexfridman I think you’re great,50156,1407,2022-11-13 20:34:46+00:00
143,elonmusk,@Tattytats @AmoneyResists I can’t tell,17951,403,2022-11-13 20:20:54+00:00
144,elonmusk,@nichegamer Especially bizarre given that almost no one came to the office. Estimated cost per lunch served in past 12 months is &gt;$400.,115775,8503,2022-11-13 20:05:37+00:00
145,elonmusk,@micsolana 🤣,7558,273,2022-11-13 19:54:05+00:00
146,elonmusk,"@HSajwanization I hope they keep cursing me on Twitter, as it increases advertising revenue!",120660,6944,2022-11-13 19:30:46+00:00
147,elonmusk,@219_eth 🧐,22564,1076,2022-11-13 19:28:49+00:00
148,elonmusk,@dennishegstad We will enable organizations to manage affiliations,6323,265,2022-11-13 18:56:21+00:00
149,elonmusk,"@engineers_feed Output of any company is the vector sum of people within it. Someone may be a strong vector, but negatively affect those around them to such a degree that they are a net negative.",35394,2750,2022-11-13 18:11:54+00:00
150,elonmusk,"Btw, I’d like to apologize for Twitter being super slow in many countries. App is doing &gt;1000 poorly batched RPCs just to render a home timeline!",171363,11154,2022-11-13 18:00:58+00:00
151,elonmusk,@jessica_kirsh @SpaceX @TeslaAIBot @Tesla Cool :),6892,269,2022-11-13 17:58:00+00:00
152,elonmusk,"@johnkrausphotos Ultimately, I think there is no choice but for Twitter to be the final arbiter, but I’m open to suggestions",10100,403,2022-11-13 17:55:00+00:00
153,elonmusk,"Rolling out soon, Twitter will enable organizations to identify which other Twitter accounts are actually associated with them",229978,17708,2022-11-13 17:52:01+00:00
154,elonmusk,@D4VIDBRAVO Coming soon,2419,109,2022-11-13 17:49:33+00:00
155,elonmusk,"@sama Amphetamines negatively affect empathy, psychedelics do the opposite",31963,2659,2022-11-13 17:48:57+00:00
156,elonmusk,@People4Bernie @SenMarkey @washingtonpost Are you suggesting the Senator will abuse his political power to attack me?,43084,4168,2022-11-13 17:45:23+00:00
157,elonmusk,@BillyM2k Twitter rocks,27994,1650,2022-11-13 17:42:04+00:00
158,elonmusk,@muratpak @archillect What matters is that you love them,25106,1399,2022-11-13 17:30:51+00:00
159,elonmusk,Twitter feels increasingly alive,562328,34874,2022-11-13 17:16:52+00:00
160,elonmusk,"@JohnLegere @HolyKnightKeith @Twitter @MikeSievert @TMobile I like both you and Mike! It’s just that Twitter at its core is a software &amp; servers company. The technology needs to evolve rapidly, which requires a technologist.",7463,387,2022-11-13 17:15:02+00:00
161,elonmusk,@JohnLegere @Twitter No,246807,8265,2022-11-13 16:10:27+00:00
162,elonmusk,"@TomFitton SBF was a major Dem donor, so no investigation",128869,22082,2022-11-13 15:56:46+00:00
163,elonmusk,@dogeofficialceo @SenMarkey @washingtonpost 🤣🤣,9782,265,2022-11-13 15:45:27+00:00
164,elonmusk,@SenMarkey @washingtonpost And why does your pp have a mask!?,58696,3988,2022-11-13 15:36:38+00:00
165,elonmusk,@SenMarkey @washingtonpost Perhaps it is because your real account sounds like a parody?,230037,14149,2022-11-13 15:20:22+00:00
166,elonmusk,@BLKMDL3 @DirtyTesLa @WholeMarsBlog Rollout will broaden roughly every week,3492,198,2022-11-13 05:51:44+00:00
167,elonmusk,@ID_AA_Carmack Fond memories,9078,399,2022-11-13 05:32:32+00:00
168,elonmusk,@TaraBull808 🤣💯,25004,926,2022-11-13 05:28:21+00:00
169,elonmusk,@WholeMarsBlog @saasInvestor Ok …,2317,89,2022-11-13 05:21:37+00:00
170,elonmusk,@DirtyTesLa @WholeMarsBlog Probably next month,2493,90,2022-11-13 05:20:17+00:00
171,elonmusk,@DirtyTesLa @WholeMarsBlog Going without saying that we all want ASS (Actually Smart Summon) ASAP!!,3463,214,2022-11-13 05:19:37+00:00
172,elonmusk,@slashdot No way,36351,1833,2022-11-13 05:15:23+00:00
173,elonmusk,@debarghya_das @ayushkhd @Tesla Making Tesla Superchargers &amp; connectors available to all is the right thing to do,8277,522,2022-11-13 01:30:48+00:00
174,elonmusk,@A_MrBenMitchell @RadioShack @MarioNawfal Spaces should be evolve. It has potential to be truly great.,4238,318,2022-11-13 00:39:10+00:00
175,elonmusk,@pauljamil @philbak1 Probably end of next week,5228,214,2022-11-13 00:38:08+00:00
176,elonmusk,@philbak1 My reaction to SBF was … different,57158,2582,2022-11-13 00:32:01+00:00
177,elonmusk,@MarioNawfal Twitter at its best!,35335,2344,2022-11-13 00:25:25+00:00
178,elonmusk,@alex_avoigt 💪💪,23956,1005,2022-11-13 00:18:14+00:00
179,elonmusk,@kellymilkies @tomasverdugo @balinares 🎯,3355,113,2022-11-13 00:08:38+00:00
180,elonmusk,@elephantbridge @balinares Yes,10219,239,2022-11-12 23:57:36+00:00
181,elonmusk,"@balinares This is false. Anyone who can be in office, should be. However, if not logistically possible or they have essential personal matters, then staying home is fine.

Working remotely is also ok if their manager vouches for excellence.

Same policy as Tesla &amp; SpaceX.",124861,7978,2022-11-12 23:54:32+00:00
182,elonmusk,Order at https://t.co/Q1VvqV5G0i! https://t.co/Ehca6KRk3v,73191,6081,2022-11-12 23:31:02+00:00
183,elonmusk,@andst7 wen doc series? @netflix,7756,442,2022-11-12 23:27:59+00:00
184,elonmusk,@MuskUniversity Yup,21301,715,2022-11-12 23:22:44+00:00
185,elonmusk,@CathieDWood Exactly,7841,454,2022-11-12 23:13:07+00:00
186,elonmusk,@Thnaiyan سوف تفعل,12529,1159,2022-11-12 22:46:48+00:00
187,elonmusk,@andst7 Cool,49748,1230,2022-11-12 22:42:23+00:00
188,elonmusk,@andst7 https://t.co/ZpZ6B4F7Ou,16591,2322,2022-11-12 19:12:19+00:00
189,elonmusk,@westcoastbill 🦾,3635,210,2022-11-12 18:30:57+00:00
190,elonmusk,"@WholeMarsBlog Given all that is in V11, it will take a few weeks to expand the beta, then another few weeks to go wide release to US &amp; Canada",11685,831,2022-11-12 17:57:48+00:00
191,elonmusk,@WholeMarsBlog FSD V11 rolled out at 11:11pm Pacific,12606,1051,2022-11-12 07:47:20+00:00
192,elonmusk,🪦🤖,445922,29056,2022-11-12 07:36:39+00:00
